,model,columns,best_params,training_time,accuracy,precision,recall,f1,roc_auc,mean_fit_time,predict_time
87,LinearDiscriminantAnalysis,"['guests_per_night', 'lead_time_scaled', 'avg_price_per_room_scaled']",{},0.09636402130126953,0.7609,0.6844,0.448,0.541,0.766,0.012,0.001
88,QuadraticDiscriminantAnalysis,"['guests_per_night', 'lead_time_scaled', 'avg_price_per_room_scaled']",{},0.08511114120483398,0.7661,0.7099,0.436,0.54,0.755,0.008,0.002
89,DecisionTreeClassifier,"['guests_per_night', 'lead_time_scaled', 'avg_price_per_room_scaled']","{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2}",2.394822120666504,0.8051,0.6949,0.68,0.687,0.78,0.074,0.003
90,RandomForestClassifier,"['guests_per_night', 'lead_time_scaled', 'avg_price_per_room_scaled']","{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",331.3654582500458,0.8221,0.7445,0.663,0.701,0.871,3.859,0.091
91,GaussianNB,"['has_special_request', 'lead_time_scaled', 'avg_price_per_room_scaled']",{},0.12596583366394043,0.7621,0.7059,0.42,0.527,0.808,0.015,0.001
92,KNeighborsClassifier,"['has_special_request', 'lead_time_scaled', 'avg_price_per_room_scaled']",{'n_neighbors': 3},4.0083909034729,0.842,0.7694,0.712,0.74,0.864,0.013,0.101
93,LogisticRegression,"['has_special_request', 'lead_time_scaled', 'avg_price_per_room_scaled']","{'C': 1, 'max_iter': 100}",0.4732842445373535,0.7765,0.7098,0.492,0.581,0.811,0.011,0.001
94,LinearDiscriminantAnalysis,"['has_special_request', 'lead_time_scaled', 'avg_price_per_room_scaled']",{},0.05955219268798828,0.7749,0.7063,0.489,0.578,0.811,0.013,0.001
95,QuadraticDiscriminantAnalysis,"['has_special_request', 'lead_time_scaled', 'avg_price_per_room_scaled']",{},0.06056809425354004,0.7775,0.716,0.487,0.58,0.809,0.007,0.001
96,DecisionTreeClassifier,"['has_special_request', 'lead_time_scaled', 'avg_price_per_room_scaled']","{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10}",1.9983060359954834,0.8487,0.7853,0.715,0.749,0.868,0.057,0.003
97,RandomForestClassifier,"['has_special_request', 'lead_time_scaled', 'avg_price_per_room_scaled']","{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",349.6172821521759,0.8684,0.8299,0.733,0.778,0.911,4.067,0.604
98,GaussianNB,"['guests_per_night', 'has_special_request', 'lead_time_scaled', 'avg_price_per_room_scaled']",{},0.13419294357299805,0.7611,0.6994,0.424,0.528,0.802,0.025,0.005
99,KNeighborsClassifier,"['guests_per_night', 'has_special_request', 'lead_time_scaled', 'avg_price_per_room_scaled']",{'n_neighbors': 3},4.297461986541748,0.843,0.7729,0.711,0.74,0.861,0.014,0.127
100,LogisticRegression,"['guests_per_night', 'has_special_request', 'lead_time_scaled', 'avg_price_per_room_scaled']","{'C': 1, 'max_iter': 100}",0.6042721271514893,0.7764,0.7094,0.492,0.581,0.811,0.013,0.001
101,LinearDiscriminantAnalysis,"['guests_per_night', 'has_special_request', 'lead_time_scaled', 'avg_price_per_room_scaled']",{},0.07149076461791992,0.7751,0.7068,0.489,0.578,0.811,0.011,0.001
102,QuadraticDiscriminantAnalysis,"['guests_per_night', 'has_special_request', 'lead_time_scaled', 'avg_price_per_room_scaled']",{},0.05376100540161133,0.7762,0.7123,0.486,0.578,0.808,0.008,0.001
103,DecisionTreeClassifier,"['guests_per_night', 'has_special_request', 'lead_time_scaled', 'avg_price_per_room_scaled']","{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2}",2.162842035293579,0.842,0.7622,0.725,0.743,0.829,0.06,0.004
104,RandomForestClassifier,"['guests_per_night', 'has_special_request', 'lead_time_scaled', 'avg_price_per_room_scaled']","{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",401.5478026866913,0.8735,0.8463,0.731,0.785,0.916,4.831,0.25
105,GaussianNB,"['season_Spring', 'season_Summer', 'season_Winter']",{},0.11704182624816895,0.6227,0.3901,0.35,0.369,0.587,0.024,0.003
106,KNeighborsClassifier,"['season_Spring', 'season_Summer', 'season_Winter']",{'n_neighbors': 9},12.173778057098389,0.6126,0.3274,0.217,0.261,0.523,0.014,0.373
107,LogisticRegression,"['season_Spring', 'season_Summer', 'season_Winter']","{'C': 0.001, 'max_iter': 100}",0.5106449127197266,0.6849,0.0,0.0,0.0,0.587,0.011,0.001
108,LinearDiscriminantAnalysis,"['season_Spring', 'season_Summer', 'season_Winter']",{},0.06402206420898438,0.6849,0.0,0.0,0.0,0.587,0.013,0.001
109,QuadraticDiscriminantAnalysis,"['season_Spring', 'season_Summer', 'season_Winter']",{},0.056890010833740234,0.6227,0.3901,0.35,0.369,0.587,0.009,0.002
110,DecisionTreeClassifier,"['season_Spring', 'season_Summer', 'season_Winter']","{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.5252208709716797,0.6849,0.0,0.0,0.0,0.587,0.005,0.001
111,RandomForestClassifier,"['season_Spring', 'season_Summer', 'season_Winter']","{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",81.56327199935913,0.6849,0.0,0.0,0.0,0.587,0.969,0.013
112,GaussianNB,"['guests_per_night', 'season_Spring', 'season_Summer', 'season_Winter']",{},0.08978986740112305,0.6263,0.3924,0.339,0.364,0.589,0.005,0.002
113,KNeighborsClassifier,"['guests_per_night', 'season_Spring', 'season_Summer', 'season_Winter']",{'n_neighbors': 7},6.396555185317993,0.6288,0.3991,0.352,0.374,0.563,0.015,0.169
114,LogisticRegression,"['guests_per_night', 'season_Spring', 'season_Summer', 'season_Winter']","{'C': 0.001, 'max_iter': 100}",0.4257931709289551,0.6849,0.0,0.0,0.0,0.589,0.01,0.001
115,LinearDiscriminantAnalysis,"['guests_per_night', 'season_Spring', 'season_Summer', 'season_Winter']",{},0.04741382598876953,0.6849,0.0,0.0,0.0,0.589,0.007,0.001
116,QuadraticDiscriminantAnalysis,"['guests_per_night', 'season_Spring', 'season_Summer', 'season_Winter']",{},0.05802488327026367,0.638,0.4026,0.308,0.349,0.594,0.005,0.001
117,DecisionTreeClassifier,"['guests_per_night', 'season_Spring', 'season_Summer', 'season_Winter']","{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.6287291049957275,0.6858,0.5205,0.035,0.065,0.609,0.009,0.002
118,RandomForestClassifier,"['guests_per_night', 'season_Spring', 'season_Summer', 'season_Winter']","{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",135.79927587509155,0.6858,0.5183,0.039,0.072,0.609,1.488,0.061
119,GaussianNB,"['has_special_request', 'season_Spring', 'season_Summer', 'season_Winter']",{},0.1266181468963623,0.6647,0.4775,0.68,0.561,0.69,0.011,0.002
120,KNeighborsClassifier,"['has_special_request', 'season_Spring', 'season_Summer', 'season_Winter']",{'n_neighbors': 9},10.167195081710815,0.6847,0.4994,0.186,0.271,0.627,0.016,0.311
121,LogisticRegression,"['has_special_request', 'season_Spring', 'season_Summer', 'season_Winter']","{'C': 0.01, 'max_iter': 100}",0.5435521602630615,0.691,0.5202,0.248,0.336,0.69,0.012,0.001
122,LinearDiscriminantAnalysis,"['has_special_request', 'season_Spring', 'season_Summer', 'season_Winter']",{},0.06369781494140625,0.691,0.5202,0.248,0.336,0.69,0.014,0.001
123,QuadraticDiscriminantAnalysis,"['has_special_request', 'season_Spring', 'season_Summer', 'season_Winter']",{},0.060606956481933594,0.6908,0.5111,0.434,0.469,0.697,0.007,0.001
124,DecisionTreeClassifier,"['has_special_request', 'season_Spring', 'season_Summer', 'season_Winter']","{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.565086841583252,0.691,0.5202,0.248,0.336,0.7,0.007,0.002
125,RandomForestClassifier,"['has_special_request', 'season_Spring', 'season_Summer', 'season_Winter']","{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",96.23546195030212,0.691,0.5202,0.248,0.336,0.7,1.101,0.022
126,GaussianNB,"['guests_per_night', 'has_special_request', 'season_Spring', 'season_Summer', 'season_Winter']",{},0.11522912979125977,0.6646,0.4752,0.62,0.538,0.689,0.006,0.01
127,KNeighborsClassifier,"['guests_per_night', 'has_special_request', 'season_Spring', 'season_Summer', 'season_Winter']",{'n_neighbors': 5},6.667210817337036,0.685,0.5003,0.391,0.439,0.638,0.017,0.203
128,LogisticRegression,"['guests_per_night', 'has_special_request', 'season_Spring', 'season_Summer', 'season_Winter']","{'C': 0.1, 'max_iter': 100}",0.6822829246520996,0.6905,0.5188,0.246,0.334,0.69,0.015,0.002
129,LinearDiscriminantAnalysis,"['guests_per_night', 'has_special_request', 'season_Spring', 'season_Summer', 'season_Winter']",{},0.07770395278930664,0.6905,0.5188,0.246,0.334,0.691,0.014,0.001
